ID,SMILES,hERG,Classifation_hERG
CHEMBL305660,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,0.0858,0
CHEMBL594615,CS(=O)(=O)Nc1ccc(CCCNCCNc2ccc(Cl)c(Cl)c2)cc1,0.014,0
CHEMBL1834633,NC(=O)Cc1ccc([C@H]2CC[C@@H](N3CC(NC(=O)CNc4n[nH]c5ccc(C(F)(F)F)cc45)C3)CC2)cc1,9.5,0
CHEMBL2204250,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@@](O)(c3ccc(OCC(F)(F)F)nc3)CC2)C1,7.0,0
CHEMBL2204244,COc1ccc([C@]2(O)CC[C@H](N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cn1,37.0,1
CHEMBL1952143,COc1cc(NCC2CCNCC2)nc2c1nnn2-c1cccc(N(C)C)c1,31.62,1
CHEMBL1214176,CCCn1c(-c2ccccc2)cc(C(=O)N(C)CCCN2CCN(c3cccc(C)c3C)CC2)c1C,0.7,0
CHEMBL523167,CN(CCc1ccc(Cl)c(Cl)c1)C[C@H](O)COc1ccc(NS(C)(=O)=O)cc1,0.37,0
CHEMBL3263282,O=C(N1CCc2ncc(C(F)(F)F)cc2C1)[C@@]12CCO[C@@H]1C[C@@H](N1CCC(c3ccccc3)CC1)C2,5.8,0
CHEMBL726,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.675,0
CHEMBL3093955,CCCCCCCN(CC)C/C=C/CCc1ccc(Cl)cc1,0.238,0
CHEMBL3263286,CNC(=O)c1cccc(C2CCN([C@@H]3C[C@H]4OCC[C@@]4(C(=O)N4COc5ccc(C(F)(F)F)cc5C4)C3)CC2)c1,3.1,0
CHEMBL2325214,C[n+]1c(C#Cc2ccc(Cl)cc2)cccc1C#Cc1ccc(Cl)cc1,1.159,0
CHEMBL2315940,N#Cc1cc(NCC(=O)NC2CN([C@H]3CC[C@@](O)(c4cncs4)CC3)C2)c2cc(C(F)(F)F)ccc2n1,35.1,1
CHEMBL1834635,Cn1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](c4ccc5c(c4)OCO5)CC3)C2)c2cc(C(F)(F)F)ccc21,0.84,0
CHEMBL296419,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,0.0021000000000000003,0
CHEMBL2376796,CCc1ccc2c(N3CC(NC)C3)nc(N)nc2c1,2.455,0
CHEMBL1086626,Cc1[nH]c(-c2ccccc2)cc1C(=O)NCCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.1,0
CHEMBL175845,CN1CCN(CCCn2nc(C3=C(c4cn(-c5ccc6ccccc6c5)c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1,0.29,0
CHEMBL1834634,COc1ccc([C@H]2CC[C@@H](N3CC(NC(=O)CNc4n[nH]c5ccc(C(F)(F)F)cc45)C3)CC2)cn1,2.5,0
CHEMBL1170608,Cl.Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1-c1nc2ccccc2o1,0.75,0
CHEMBL493053,CS(=O)(=O)Nc1ccc(OC[C@@H](O)CNCCc2ccc(Cl)c(F)c2)cc1,1.91,0
CHEMBL1952141,CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1.O=S(=O)(O)O,3.162,0
CHEMBL2376790,CNC1CN(c2nc(N)nc3cc(C4CCCC4)ccc23)C1,0.8318,0
CHEMBL1829610,O=C(CNC(=O)c1ccccc1)NC1CN([C@H]2CC[C@H](c3ccc4c(c3)OCO4)CC2)C1,2.8,0
CHEMBL482056,O=C1OCCN1C1CCN(CCc2ccc(Oc3nc4ccccc4s3)cc2)CC1,0.5,0
CHEMBL495114,CS(=O)(=O)Nc1ccc(OC[C@@H](O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2ccccc2F)cc1,1.2,0
CHEMBL1834720,CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3noc4ccc(C(F)(F)F)cc34)C2)CC1,5.6,0
CHEMBL1957497,CS(=O)(=O)N1CCN(Cc2cn3cc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3n2)CC1,100.0,1
CHEMBL2315934,O=C(CNc1ncnc2ccc(C(F)(F)F)cc12)NC1CN([C@H]2CC[C@@H](c3ccccn3)CC2)C1,7.5,0
CHEMBL1834636,O=C(CNc1n[nH]c2ccc(C(F)(F)F)cc12)NC1CN([C@H]2CC[C@@H](n3ccccc3=O)CC2)C1,34.0,1
CHEMBL2092884,COc1ccc([C@]2(O)CC[C@H](N3CC(NC(=O)CNc4n[nH]c5ccc(C(F)(F)F)cc45)C3)CC2)cn1,32.0,1
CHEMBL2165068,N#Cc1ccc2ccc(=O)n(CCN3CC[C@H](NCc4cc5c(cn4)OCCO5)[C@@H](F)C3)c2c1,57.0,1
CHEMBL481863,c1ccc2oc(Oc3ccc(OCCN4CCCCC4)cc3)nc2c1,1.0,0
CHEMBL1086754,Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(-c2ccccc2)n1C,0.14,0
CHEMBL2179216,COc1ccc(S(=O)(=O)n2cc(C)c3cc(F)ccc32)cc1NC1CCN(C)CC1,0.95,0
CHEMBL2204267,CSc1ncc([C@]2(O)CC[C@H](N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)s1,6.0,0
CHEMBL2324247,c1ccc(OCc2cccc(COc3ccccc3)n2)cc1,0.074,0
CHEMBL1829613,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@H](c3ccc(O)cc3)CC2)C1,4.1,0
CHEMBL2324261,Cc1ccc(Cc2cc[n+](C)c(COc3ccc(C)cc3)c2)cc1.O=S(=O)([O-])C(F)(F)F,0.346,0
CHEMBL2315935,O=C(CNc1ncnc2ccc(C(F)(F)F)cc12)NC1CN([C@H]2CC[C@@H](c3ccccc3O)CC2)C1,6.6,0
CHEMBL3215864,Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(-c4ccc5c(c4)OCCO5)c3C)CC2)c1C.Cl.Cl,8.7,0
CHEMBL707,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,1.815,0
CHEMBL809,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,6.814,0
CHEMBL2324242,C[n+]1c(CCCOc2ccccc2)cccc1CCCOc1ccccc1,0.208,0
CHEMBL1834645,C=CCOC[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc34)C2)CC1,5.0,0
CHEMBL2376795,CCc1ccc2c(N3CCNCC3)nc(N)nc2c1,1.514,0
CHEMBL3093972,CCCCCCCN(CC)CC#CC(c1ccccc1)c1ccccc1,0.238,0
CHEMBL1108,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0.7596,0
CHEMBL1834787,O=C(CNc1n[nH]c2ccc(C(F)(F)F)cc12)NC1CN([C@H]2CC[C@@H](c3cccnc3)CC2)C1,36.0,1
CHEMBL1834647,CCO[C@H]1CC[C@@H](N2CC(NC(=O)CNc3n[nH]c4ccc(C(F)(F)F)cc34)C2)CC1,4.5,0
CHEMBL3688392,O=c1ccc2cc(OC[C@@H](O)CN3CCN(c4ccc(Cl)cc4)CC3)ccc2[nH]1,7.5,0
CHEMBL3216702,CCCn1c(-c2ccccn2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C.Cl.Cl.Cl.Cl,1.0,0
CHEMBL1834648,C=CCO[C@H]1CC[C@@H](N2CC(NC(=O)CNc3n[nH]c4ccc(C(F)(F)F)cc34)C2)CC1,7.4,0
CHEMBL470633,COc1cc(-n2ccnc(NCCc3ccccc3)c2=O)ccc1OCCN1CCCC1,6.2,0
CHEMBL2325199,Cc1ccc(CCCOCc2cccc(COCCCc3ccc(C)cc3)[n+]2C)cc1,0.024,0
CHEMBL1834642,Cn1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](C(N)=O)CC3)C2)c2cc(C(F)(F)F)ccc21,32.0,1
CHEMBL3093974,CCCCCCCN(CC)CC#CCCc1ccccc1,4.394,0
CHEMBL1834719,CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3n[nH]c4ccc(C(F)(F)F)cc34)C2)CC1,9.1,0
CHEMBL2325204,Cc1ccc(CCc2cccc(CCc3ccc(C)cc3)[n+]2C)cc1,0.024,0
CHEMBL2324263,Cc1ccc(COCc2cccc(COCc3ccc(C)cc3)[n+]2C)cc1,0.107,0
CHEMBL1086756,CCCn1c(-c2ccccc2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C,0.54,0
CHEMBL2324262,Cc1ccc(OCc2cccc(COc3ccc(C)cc3)[n+]2C)cc1,0.053,0
CHEMBL2324251,C[n+]1c(CCc2ccccc2)cccc1CCc1ccccc1,0.466,0
CHEMBL1915540,CN[C@@H]1CCN(c2cc(NCC3CC3)nc(N)n2)C1,3.467,0
CHEMBL3093969,CCCCCCCN(CC)CC#CCc1ccc(Cl)cc1,0.167,0
CHEMBL492846,CS(=O)(=O)Nc1ccc(OC[C@@H](O)CNCCc2ccc(Cl)cc2)cc1,1.39,0
CHEMBL2324246,C[n+]1c(CCCOc2ccccc2Cl)cccc1CCCOc1ccccc1Cl,0.074,0
CHEMBL1829614,COC(=O)c1ccc([C@H]2CC[C@H](N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cc1,1.3,0
CHEMBL1829620,COc1cnccc1[C@H]1CC[C@H](N2CC(NC(=O)CNC(=O)c3cccc(C(F)(F)F)c3)C2)CC1,8.2,0
CHEMBL998,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,32.02,1
CHEMBL17157,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0.13,0
CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.774,0
CHEMBL415247,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1,8.82,0
CHEMBL3216098,Cc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c(C)n1-c1ccccc1.Cl.Cl.Cl.Cl,8.11,0
CHEMBL3093986,CCCCCCCN(CC)C/C=C/Cc1ccc(Cl)cc1,0.0095,0
CHEMBL595318,CS(=O)(=O)Nc1ccc(CCC(=O)NCCNc2ccc(Cl)c(Cl)c2)cc1,4.62,0
CHEMBL1834640,CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc34)C2)CC1,8.0,0
CHEMBL2036273,CNC1CCCC(c2c[nH]c3ccc(NC(=N)c4cccs4)cc23)C1.Cl,33.0,1
CHEMBL3093984,CCCCCCCN(CC)C/C=C/c1ccc(Cl)cc1,0.243,0
CHEMBL3683711,Oc1ccc(OC[C@@H](O)CN2CCN(c3ccc(Cl)cc3)CC2)cc1,39.0,1
CHEMBL1829611,O=C(CNC(=O)c1ccc(C(F)(F)F)cc1)NC1CN([C@H]2CC[C@H](c3ccc4c(c3)OCO4)CC2)C1,1.5,0
CHEMBL1829609,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@H](c3ccccc3)CC2)C1,4.0,0
CHEMBL2324239,C[n+]1c(C#CCOc2ccc(Cl)cc2)cccc1C#CCOc1ccc(Cl)cc1,31.08,1
CHEMBL524038,CCCN(CCc1ccc(Cl)c(Cl)c1)C[C@H](O)COc1ccc(NS(C)(=O)=O)cc1,0.13,0
CHEMBL850,C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,38.62,1
CHEMBL3217141,Cc1[nH]c(-c2ccccn2)cc1C(=O)NCCCN1CCN(c2cccc(Cl)c2Cl)CC1.Cl.Cl.Cl.Cl,0.9,0
CHEMBL2179217,COc1ccc(S(=O)(=O)n2cc(C)c3cc(Cl)ccc32)cc1NC1CCN(C)CC1,0.8,0
CHEMBL3326631,CC(C)[C@H](CC(=O)[C@H]1Cc2ccc(O)cc2CN1)CN1CC[C@@](C)(c2ccccc2)[C@@H](C)C1,7.05,0
CHEMBL4741023,N#Cc1cnc(Nc2cc(NC[C@H]3CNCCO3)c(-c3cccc(F)c3)cn2)cn1,8.8,0
CHEMBL3263279,O=C(N1CCc2ncc(C(F)(F)F)cc2C1)[C@@]12CCO[C@@H]1C[C@@H](NC1CCOCC1)C2,43.0,1
CHEMBL2204252,CC(C)(C)Oc1ccc([C@]2(O)CC[C@H](N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cn1,5.5,0
CHEMBL2324244,C[n+]1c(CCCOc2ccc(Cl)cc2)cccc1CCCOc1ccc(Cl)cc1,0.014,0
CHEMBL368895,CN(C)CCCn1nc(C2=C(c3cn(-c4ccc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,0.025,0
CHEMBL3613444,CC(C)[C@@H](CN1CCC(c2ccccc2)CC1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1,0.777,0
CHEMBL1834717,CC(C)(C)NC(=O)n1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](c4ccc5c(c4)OCO5)CC3)C2)c2cc(C(F)(F)F)ccc21,4.7,0
CHEMBL4792322,N#Cc1cnc(Nc2cc(NC[C@@H]3CNCCO3)c(C3CC3)cn2)cn1,6.6,0
CHEMBL1214177,Cc1c(C(=O)N(C)CCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(-c2ccccc2)n1C,0.5,0
CHEMBL2325208,CCCCCCCCc1cccc(CCCCCCCC)[n+]1C,0.015,0
